Who Region,Population,Persons Fully Vaccinated,Cumulative_cases,Cumulative_deaths
SEARO,1995610077,1218038701,57279840,780082
WPRO,1964278733,1612376081,48279679,214588
AFRO,1116660770,143253334,8604476,171177
AMRO,1022649002,682503844,151040819,2704233
EURO,934139653,584353433,205374393,1948307
EMRO,730824608,295847543,21609468,341074
